B05001_001E,B05001_002E,B05001_003E,B05001_004E,B05001_005E,B05001_006E,geoid
10016.0,8820.0,43.0,265.0,393.0,495.0,01089011011
6160.0,5751.0,0.0,224.0,90.0,95.0,01089010402
8451.0,8207.0,0.0,19.0,131.0,94.0,01089010702
9305.0,7880.0,50.0,257.0,698.0,420.0,01089011014
2603.0,2438.0,11.0,36.0,88.0,30.0,01089000502
2506.0,2485.0,0.0,0.0,9.0,12.0,01089000702
2753.0,2730.0,0.0,0.0,0.0,23.0,01089001200
2178.0,1935.0,6.0,34.0,72.0,131.0,01089000602
7019.0,6297.0,0.0,218.0,435.0,69.0,01089002802
5189.0,4847.0,21.0,63.0,218.0,40.0,01089011013
2060.0,1901.0,0.0,19.0,67.0,73.0,01089002000
4024.0,3896.0,0.0,74.0,54.0,0.0,01089001801
3295.0,3208.0,5.0,23.0,59.0,0.0,01089010902
4205.0,3839.0,0.0,46.0,221.0,99.0,01089002911
2617.0,2225.0,20.0,7.0,47.0,318.0,01089000701
2028.0,1993.0,0.0,10.0,15.0,10.0,01001020200
2550.0,2486.0,0.0,10.0,32.0,22.0,01001021000
3476.0,3231.0,5.0,60.0,49.0,131.0,01001020300
6401.0,6258.0,43.0,56.0,25.0,19.0,01001020900
1923.0,1870.0,0.0,11.0,18.0,24.0,01001020100
9883.0,9310.0,0.0,124.0,328.0,121.0,01001020500
3831.0,3720.0,0.0,30.0,30.0,51.0,01001020400
3705.0,3647.0,0.0,25.0,21.0,12.0,01001020600
4029.0,3908.0,0.0,30.0,14.0,77.0,01001020700
2945.0,2944.0,0.0,0.0,1.0,0.0,01001021100
5528.0,5404.0,0.0,110.0,14.0,0.0,01061050400
4676.0,4544.0,0.0,9.0,71.0,52.0,01061050100
4620.0,4481.0,0.0,18.0,34.0,87.0,01061050500
4869.0,4869.0,0.0,0.0,0.0,0.0,01079979600
4293.0,4205.0,0.0,0.0,11.0,77.0,01079979400
2312.0,1959.0,0.0,0.0,87.0,266.0,01081040300
9978.0,8523.0,85.0,69.0,299.0,1002.0,01081040500
5061.0,4913.0,0.0,19.0,102.0,27.0,01081041200
8519.0,8326.0,0.0,80.0,41.0,72.0,01081041800
5258.0,4500.0,0.0,39.0,155.0,564.0,01081040200
3622.0,3542.0,0.0,21.0,0.0,59.0,01081041300
5320.0,4949.0,18.0,21.0,12.0,320.0,01021060401
2517.0,2504.0,0.0,13.0,0.0,0.0,01021060200
3274.0,3228.0,13.0,33.0,0.0,0.0,01021060500
4336.0,4210.0,0.0,46.0,10.0,70.0,01021060101
7134.0,6712.0,0.0,56.0,81.0,285.0,01021060102
3521.0,3394.0,0.0,34.0,75.0,18.0,01021060600
4751.0,4697.0,0.0,27.0,27.0,0.0,01021060700
3396.0,3241.0,8.0,16.0,29.0,102.0,01033020100
1737.0,1713.0,0.0,2.0,10.0,12.0,01033020400
5777.0,5360.0,0.0,147.0,54.0,216.0,01033020500
4023.0,4002.0,0.0,0.0,12.0,9.0,01033020600
6224.0,6100.0,0.0,22.0,28.0,74.0,01033020701
1891.0,1891.0,0.0,0.0,0.0,0.0,01033020300
3950.0,3938.0,4.0,8.0,0.0,0.0,01033020802
1927.0,1900.0,0.0,16.0,8.0,3.0,01033020200
4330.0,4307.0,0.0,0.0,23.0,0.0,01033020801
3559.0,3480.0,0.0,24.0,39.0,16.0,01033021000
3451.0,3422.0,6.0,20.0,3.0,0.0,01037961200
3699.0,3679.0,0.0,20.0,0.0,0.0,01037961100
3705.0,3626.0,0.0,31.0,0.0,48.0,01037961000
2048.0,1995.0,6.0,19.0,18.0,10.0,01045020200
1859.0,1808.0,34.0,11.0,6.0,0.0,01045020500
4106.0,4005.0,38.0,21.0,42.0,0.0,01045021300
5383.0,5224.0,9.0,49.0,19.0,82.0,01045021400
2454.0,1956.0,5.0,39.0,84.0,370.0,01045021200
3542.0,3430.0,0.0,73.0,22.0,17.0,01045020100
2388.0,2271.0,12.0,39.0,33.0,33.0,01045020400
2292.0,2211.0,0.0,63.0,11.0,7.0,01045020300
5513.0,5137.0,0.0,0.0,0.0,376.0,01109188900
7448.0,7251.0,0.0,14.0,28.0,155.0,01109189000
7310.0,6467.0,0.0,101.0,137.0,605.0,01109189100
3270.0,3210.0,0.0,5.0,17.0,38.0,01109189200
3890.0,3864.0,1.0,1.0,14.0,10.0,01109189300
3190.0,3144.0,0.0,0.0,24.0,22.0,01111000100
3297.0,3209.0,14.0,21.0,37.0,16.0,01111000200
4066.0,4027.0,11.0,21.0,7.0,0.0,01111000300
4821.0,4668.0,0.0,13.0,13.0,127.0,01111000400
4988.0,4968.0,0.0,0.0,20.0,0.0,01111000500
2212.0,2118.0,0.0,0.0,27.0,67.0,01111000600
6064.0,5998.0,10.0,23.0,16.0,17.0,01113030401
3302.0,3243.0,0.0,20.0,32.0,7.0,01113030402
9340.0,9258.0,0.0,16.0,54.0,12.0,01115040103
5187.0,5153.0,0.0,0.0,0.0,34.0,01115040104
4821.0,4519.0,0.0,30.0,45.0,227.0,01115040105
7004.0,6879.0,0.0,42.0,56.0,27.0,01115040106
6985.0,6646.0,0.0,64.0,49.0,226.0,01115040204
5981.0,5922.0,0.0,25.0,34.0,0.0,01115040205
5247.0,5187.0,0.0,0.0,38.0,22.0,01115040401
3888.0,3784.0,5.0,14.0,48.0,37.0,01115040402
4051.0,4022.0,6.0,2.0,0.0,21.0,01117030102
906.0,899.0,0.0,7.0,0.0,0.0,01117030103
3052.0,3001.0,0.0,24.0,27.0,0.0,01117030211
3444.0,3099.0,0.0,67.0,53.0,225.0,01117030212
4496.0,4470.0,0.0,18.0,5.0,3.0,01077011700
4743.0,4316.0,29.0,36.0,56.0,306.0,01083020600
2283.0,2132.0,0.0,36.0,0.0,115.0,01083020700
4596.0,4477.0,24.0,23.0,27.0,45.0,01083020900
2543.0,2360.0,0.0,27.0,80.0,76.0,01083021000
5796.0,5586.0,0.0,0.0,0.0,210.0,01083020401
3815.0,3794.0,0.0,10.0,11.0,0.0,01083020300
2741.0,2681.0,0.0,37.0,23.0,0.0,01083020500
1221.0,1221.0,0.0,0.0,0.0,0.0,01099075600
1963.0,1963.0,0.0,0.0,0.0,0.0,01099075700
1283.0,1278.0,0.0,0.0,0.0,5.0,01099075800
6459.0,6406.0,0.0,0.0,35.0,18.0,01099075900
2759.0,2723.0,0.0,10.0,10.0,16.0,01099076000
6244.0,6188.0,0.0,4.0,52.0,0.0,01099076100
1583.0,1583.0,0.0,0.0,0.0,0.0,01099076200
5347.0,5324.0,0.0,0.0,22.0,1.0,01077011502
4043.0,4016.0,0.0,13.0,7.0,7.0,01077011200
6521.0,6457.0,0.0,0.0,0.0,64.0,01077011400
6958.0,6648.0,23.0,31.0,115.0,141.0,01077011501
2826.0,2427.0,21.0,82.0,215.0,81.0,01089002722
1509.0,1427.0,0.0,6.0,60.0,16.0,01089001902
4321.0,4175.0,0.0,7.0,49.0,90.0,01089010302
15883.0,14976.0,35.0,328.0,490.0,54.0,01089010901
1780.0,1653.0,0.0,0.0,16.0,111.0,01089000503
1239.0,1129.0,0.0,0.0,37.0,73.0,01089000601
6372.0,5838.0,0.0,23.0,165.0,346.0,01089002921
3735.0,3363.0,0.0,77.0,263.0,32.0,01089001901
2645.0,2558.0,0.0,37.0,41.0,9.0,01089002701
4434.0,4054.0,0.0,52.0,158.0,170.0,01089002801
3524.0,3210.0,0.0,78.0,227.0,9.0,01089002922
5920.0,5577.0,30.0,87.0,119.0,107.0,01089010612
2879.0,2795.0,0.0,35.0,0.0,49.0,01125012000
3738.0,3654.0,0.0,33.0,0.0,51.0,01125012304
2577.0,2577.0,0.0,0.0,0.0,0.0,01125012800
7397.0,7146.0,11.0,72.0,80.0,88.0,01125011200
7571.0,7185.0,0.0,88.0,128.0,170.0,01125012303
1918.0,1914.0,0.0,0.0,4.0,0.0,01125012501
6737.0,6487.0,0.0,51.0,58.0,141.0,01125012502
3196.0,2962.0,34.0,93.0,14.0,93.0,01031011000
2170.0,2138.0,0.0,24.0,4.0,4.0,01031010100
4888.0,4712.0,33.0,51.0,66.0,26.0,01031010300
1782.0,1762.0,0.0,20.0,0.0,0.0,01031010400
9353.0,8411.0,49.0,365.0,284.0,244.0,01031011201
2917.0,2723.0,8.0,0.0,23.0,163.0,01103000300
